"FirmID","Cohort_Year","Year","VP","Gov","Treated","EventTime"
"1521 HK Equity",NA,2019,-3.11,NA,0,NA
"1521 HK Equity",NA,2020,-6.22,NA,0,NA
"1521 HK Equity",NA,2021,-7.09,NA,0,NA
"1521 HK Equity",NA,2022,-4.06,NA,0,NA
"1521 HK Equity",NA,2023,-3.49,5.453738689,0,NA
"1521 HK Equity",NA,2024,-5.09,5.435391426,0,NA
"1521 HK Equity",NA,2025,-5.08,4.671311378,0,NA
"950160 KS Equity",NA,2019,NA,NA,0,NA
"950160 KS Equity",NA,2020,NA,NA,0,NA
"950160 KS Equity",NA,2021,NA,NA,0,NA
"950160 KS Equity",NA,2022,NA,NA,0,NA
"950160 KS Equity",NA,2023,NA,NA,0,NA
"950160 KS Equity",NA,2024,NA,NA,0,NA
"950160 KS Equity",NA,2025,NA,NA,0,NA
"ABSI US Equity",2021,2019,NA,NA,0,-2
"ABSI US Equity",2021,2020,NA,NA,0,-1
"ABSI US Equity",2021,2021,85.83,NA,1,0
"ABSI US Equity",2021,2022,-4.17,NA,1,1
"ABSI US Equity",2021,2023,84.53,6.235205173,1,2
"ABSI US Equity",2021,2024,57.33,6.747514248,1,3
"ABSI US Equity",2021,2025,108.32,5.915585995,1,4
"AGIO US Equity",2023,2019,15.76,5.962852478,0,-4
"AGIO US Equity",2023,2020,-0.18,6.077861786,0,-3
"AGIO US Equity",2023,2021,NA,4.845802784,0,-2
"AGIO US Equity",2023,2022,23.61,6.020469189,0,-1
"AGIO US Equity",2023,2023,23.44,6.379606247,1,0
"AGIO US Equity",2023,2024,5.26,6.652458191,1,1
"AGIO US Equity",2023,2025,3.09,6.925976276,1,2
"ALLO US Equity",NA,2019,NA,NA,0,NA
"ALLO US Equity",NA,2020,NA,5.062881947,0,NA
"ALLO US Equity",NA,2021,13.38,5.81676054,0,NA
"ALLO US Equity",NA,2022,3207.32,5.553154469,0,NA
"ALLO US Equity",NA,2023,4273.54,5.517624855,0,NA
"ALLO US Equity",NA,2024,8837.05,5.216411591,0,NA
"ALLO US Equity",NA,2025,NA,5.201370239,0,NA
"ALXO US Equity",NA,2019,NA,NA,0,NA
"ALXO US Equity",NA,2020,2091.51,NA,0,NA
"ALXO US Equity",NA,2021,NA,NA,0,NA
"ALXO US Equity",NA,2022,NA,NA,0,NA
"ALXO US Equity",NA,2023,NA,6.081606865,0,NA
"ALXO US Equity",NA,2024,NA,6.61346674,0,NA
"ALXO US Equity",NA,2025,NA,5.220732212,0,NA
"ANAB US Equity",NA,2019,2.31,5.414444447,0,NA
"ANAB US Equity",NA,2020,-10.39,5.289806366,0,NA
"ANAB US Equity",NA,2021,-5.85,5.693815708,0,NA
"ANAB US Equity",NA,2022,20.72,5.904644489,0,NA
"ANAB US Equity",NA,2023,9.35,6.047008514,0,NA
"ANAB US Equity",NA,2024,-5.18,5.702813148,0,NA
"ANAB US Equity",NA,2025,-1.33,5.262876511,0,NA
"ANNX US Equity",NA,2019,NA,NA,0,NA
"ANNX US Equity",NA,2020,NA,NA,0,NA
"ANNX US Equity",NA,2021,NA,NA,0,NA
"ANNX US Equity",NA,2022,NA,NA,0,NA
"ANNX US Equity",NA,2023,NA,5.437441826,0,NA
"ANNX US Equity",NA,2024,NA,6.434597015,0,NA
"ANNX US Equity",NA,2025,NA,6.180136204,0,NA
"APLS US Equity",2021,2019,NA,6.030846119,0,-2
"APLS US Equity",2021,2020,-10.59,6.426252365,0,-1
"APLS US Equity",2021,2021,38.26,5.755384922,1,0
"APLS US Equity",2021,2022,68.8,5.177760601,1,1
"APLS US Equity",2021,2023,4.93,5.184689522,1,2
"APLS US Equity",2021,2024,-8,5.737246037,1,3
"APLS US Equity",2021,2025,-6.86,5.652369022,1,4
"AQST US Equity",NA,2019,-3.91,NA,0,NA
"AQST US Equity",NA,2020,-3.81,NA,0,NA
"AQST US Equity",NA,2021,-2.83,NA,0,NA
"AQST US Equity",NA,2022,-2.36,NA,0,NA
"AQST US Equity",NA,2023,3.27,NA,0,NA
"AQST US Equity",NA,2024,1.68,NA,0,NA
"AQST US Equity",NA,2025,6.69,NA,0,NA
"ARMP US Equity",NA,2019,NA,NA,0,NA
"ARMP US Equity",NA,2020,161.3,NA,0,NA
"ARMP US Equity",NA,2021,31.48,NA,0,NA
"ARMP US Equity",NA,2022,13.67,NA,0,NA
"ARMP US Equity",NA,2023,50.06,NA,0,NA
"ARMP US Equity",NA,2024,34.19,NA,0,NA
"ARMP US Equity",NA,2025,117.76,NA,0,NA
"ARQT US Equity",NA,2019,NA,NA,0,NA
"ARQT US Equity",NA,2020,NA,NA,0,NA
"ARQT US Equity",NA,2021,NA,NA,0,NA
"ARQT US Equity",NA,2022,205.42,NA,0,NA
"ARQT US Equity",NA,2023,10.83,6.035980225,0,NA
"ARQT US Equity",NA,2024,0.16,6.444102287,0,NA
"ARQT US Equity",NA,2025,2.09,6.66858387,0,NA
"ARVN US Equity",2020,2019,17.58,NA,0,-1
"ARVN US Equity",2020,2020,134.36,6.0795784,1,0
"ARVN US Equity",2020,2021,30.51,5.949015141,1,1
"ARVN US Equity",2020,2022,0.25,6.024302006,1,2
"ARVN US Equity",2020,2023,22.63,5.816245556,1,3
"ARVN US Equity",2020,2024,-1.82,6.432199955,1,4
"ARVN US Equity",2020,2025,-3.08,5.831709385,1,5
"ATAI US Equity",2021,2019,NA,NA,0,-2
"ATAI US Equity",2021,2020,NA,NA,0,-1
"ATAI US Equity",2021,2021,14.17,NA,1,0
"ATAI US Equity",2021,2022,90.17,NA,1,1
"ATAI US Equity",2021,2023,562.39,NA,1,2
"ATAI US Equity",2021,2024,657.8,NA,1,3
"ATAI US Equity",2021,2025,241.14,NA,1,4
"AURA US Equity",NA,2019,NA,NA,0,NA
"AURA US Equity",NA,2020,NA,NA,0,NA
"AURA US Equity",NA,2021,NA,NA,0,NA
"AURA US Equity",NA,2022,NA,NA,0,NA
"AURA US Equity",NA,2023,NA,5.386040688,0,NA
"AURA US Equity",NA,2024,NA,5.429445267,0,NA
"AURA US Equity",NA,2025,NA,6.397377491,0,NA
"AVIR US Equity",NA,2019,NA,NA,0,NA
"AVIR US Equity",NA,2020,63.56,NA,0,NA
"AVIR US Equity",NA,2021,NA,NA,0,NA
"AVIR US Equity",NA,2022,NA,NA,0,NA
"AVIR US Equity",NA,2023,NA,4.848367214,0,NA
"AVIR US Equity",NA,2024,NA,5.28618288,0,NA
"AVIR US Equity",NA,2025,NA,5.428850651,0,NA
"AVTX US Equity",NA,2019,9.16,NA,0,NA
"AVTX US Equity",NA,2020,23.48,NA,0,NA
"AVTX US Equity",NA,2021,2.09,NA,0,NA
"AVTX US Equity",NA,2022,-4.89,NA,0,NA
"AVTX US Equity",NA,2023,NA,5.82005167,0,NA
"AVTX US Equity",NA,2024,NA,5.80942297,0,NA
"AVTX US Equity",NA,2025,3548.29,5.965081692,0,NA
"BCRX US Equity",2023,2019,1.09,5.436353683,0,-4
"BCRX US Equity",2023,2020,87.99,5.930677891,0,-3
"BCRX US Equity",2023,2021,9.01,6.575259209,0,-2
"BCRX US Equity",2023,2022,0.58,6.290832043,0,-1
"BCRX US Equity",2023,2023,-0.36,6.273434639,1,0
"BCRX US Equity",2023,2024,-1.64,6.103044033,1,1
"BCRX US Equity",2023,2025,-4.04,7.287532806,1,2
"BEAM US Equity",2021,2019,341081.62,NA,0,-2
"BEAM US Equity",2021,2020,238577.42,NA,0,-1
"BEAM US Equity",2021,2021,77.44,NA,1,0
"BEAM US Equity",2021,2022,26.57,NA,1,1
"BEAM US Equity",2021,2023,1.72,6.014043808,1,2
"BEAM US Equity",2021,2024,21.86,6.613719463,1,3
"BEAM US Equity",2021,2025,9.19,7.067762852,1,4
"CABA US Equity",NA,2019,NA,NA,0,NA
"CABA US Equity",NA,2020,NA,NA,0,NA
"CABA US Equity",NA,2021,NA,NA,0,NA
"CABA US Equity",NA,2022,NA,NA,0,NA
"CABA US Equity",NA,2023,NA,5.110458851,0,NA
"CABA US Equity",NA,2024,NA,5.396456718,0,NA
"CABA US Equity",NA,2025,NA,5.635751247,0,NA
"CADL US Equity",2023,2019,NA,NA,0,-4
"CADL US Equity",2023,2020,NA,NA,0,-3
"CADL US Equity",2023,2021,352.17,NA,0,-2
"CADL US Equity",2023,2022,NA,NA,0,-1
"CADL US Equity",2023,2023,NA,NA,1,0
"CADL US Equity",2023,2024,NA,NA,1,1
"CADL US Equity",2023,2025,NA,NA,1,2
"CCCC US Equity",NA,2019,NA,NA,0,NA
"CCCC US Equity",NA,2020,28.75,NA,0,NA
"CCCC US Equity",NA,2021,4.67,NA,0,NA
"CCCC US Equity",NA,2022,-5.08,NA,0,NA
"CCCC US Equity",NA,2023,13.6,5.390092373,0,NA
"CCCC US Equity",NA,2024,NA,6.625142574,0,NA
"CCCC US Equity",NA,2025,-5.59,6.056407452,0,NA
"CELC US Equity",NA,2019,NA,NA,0,NA
"CELC US Equity",NA,2020,NA,NA,0,NA
"CELC US Equity",NA,2021,NA,NA,0,NA
"CELC US Equity",NA,2022,NA,NA,0,NA
"CELC US Equity",NA,2023,NA,5.356739044,0,NA
"CELC US Equity",NA,2024,NA,5.743531704,0,NA
"CELC US Equity",NA,2025,NA,5.842043877,0,NA
"CFOR US Equity",2019,2019,0.39,NA,1,0
"CFOR US Equity",2019,2020,12.35,NA,1,1
"CFOR US Equity",2019,2021,-5.49,NA,1,2
"CFOR US Equity",2019,2022,-0.85,NA,1,3
"CFOR US Equity",2019,2023,-0.85,NA,1,4
"CFOR US Equity",2019,2024,-6.47,NA,1,5
"CFOR US Equity",2019,2025,NA,NA,1,6
"CLYM US Equity",NA,2019,NA,NA,0,NA
"CLYM US Equity",NA,2020,NA,NA,0,NA
"CLYM US Equity",NA,2021,NA,NA,0,NA
"CLYM US Equity",NA,2022,NA,NA,0,NA
"CLYM US Equity",NA,2023,NA,NA,0,NA
"CLYM US Equity",NA,2024,NA,NA,0,NA
"CLYM US Equity",NA,2025,NA,NA,0,NA
"CMPX US Equity",NA,2019,NA,NA,0,NA
"CMPX US Equity",NA,2020,NA,NA,0,NA
"CMPX US Equity",NA,2021,NA,NA,0,NA
"CMPX US Equity",NA,2022,NA,NA,0,NA
"CMPX US Equity",NA,2023,NA,NA,0,NA
"CMPX US Equity",NA,2024,327.16,NA,0,NA
"CMPX US Equity",NA,2025,NA,NA,0,NA
"CORT US Equity",NA,2019,-5.4,NA,0,NA
"CORT US Equity",NA,2020,0.19,NA,0,NA
"CORT US Equity",NA,2021,-0.11,NA,0,NA
"CORT US Equity",NA,2022,0.89,NA,0,NA
"CORT US Equity",NA,2023,-1.18,6.306478977,0,NA
"CORT US Equity",NA,2024,4.13,6.449785233,0,NA
"CORT US Equity",NA,2025,0.37,6.09789753,0,NA
"CPRX US Equity",2019,2019,-4.27,6.479101181,1,0
"CPRX US Equity",2019,2020,-5.28,5.955088615,1,1
"CPRX US Equity",2019,2021,-1.26,5.552438259,1,2
"CPRX US Equity",2019,2022,1.72,5.880781651,1,3
"CPRX US Equity",2019,2023,0.99,6.203029633,1,4
"CPRX US Equity",2019,2024,1.42,6.247175694,1,5
"CPRX US Equity",2019,2025,0.44,6.278820992,1,6
"CRMD US Equity",NA,2019,250.13,NA,0,NA
"CRMD US Equity",NA,2020,1330.87,NA,0,NA
"CRMD US Equity",NA,2021,891.48,NA,0,NA
"CRMD US Equity",NA,2022,2251.57,NA,0,NA
"CRMD US Equity",NA,2023,NA,7.028132915,0,NA
"CRMD US Equity",NA,2024,7.6,7.495262146,0,NA
"CRMD US Equity",NA,2025,-2.37,7.39823103,0,NA
"CRVS US Equity",NA,2019,NA,4.31576395,0,NA
"CRVS US Equity",NA,2020,NA,4.262928486,0,NA
"CRVS US Equity",NA,2021,NA,5.203621864,0,NA
"CRVS US Equity",NA,2022,NA,5.421578884,0,NA
"CRVS US Equity",NA,2023,NA,5.50944376,0,NA
"CRVS US Equity",NA,2024,NA,5.81278944,0,NA
"CRVS US Equity",NA,2025,NA,5.14368391,0,NA
"CTKB US Equity",2022,2019,NA,NA,0,-3
"CTKB US Equity",2022,2020,NA,NA,0,-2
"CTKB US Equity",2022,2021,0.21,NA,0,-1
"CTKB US Equity",2022,2022,-0.05,NA,1,0
"CTKB US Equity",2022,2023,-0.19,5.649860859,1,1
"CTKB US Equity",2022,2024,-4.84,6.3264575,1,2
"CTKB US Equity",2022,2025,-4.94,5.727251053,1,3
"CYDY US Equity",2019,2019,NA,NA,1,0
"CYDY US Equity",2019,2020,NA,NA,1,1
"CYDY US Equity",2019,2021,NA,NA,1,2
"CYDY US Equity",2019,2022,2369.29,5.309697151,1,3
"CYDY US Equity",2019,2023,NA,7.326442242,1,4
"CYDY US Equity",2019,2024,NA,6.652369022,1,5
"CYDY US Equity",2019,2025,NA,6.801682949,1,6
"DERM US Equity",NA,2019,NA,NA,0,NA
"DERM US Equity",NA,2020,NA,NA,0,NA
"DERM US Equity",NA,2021,-5.08,NA,0,NA
"DERM US Equity",NA,2022,-3.78,NA,0,NA
"DERM US Equity",NA,2023,-2.22,NA,0,NA
"DERM US Equity",NA,2024,-0.14,NA,0,NA
"DERM US Equity",NA,2025,0.18,NA,0,NA
